method_id,display_name,evidence_class,protocol_status,paper_primary_eligible_now,n_total,benign_utility_successes,benign_utility_rate,attack_utility_successes,attack_utility_rate,attack_successes,attack_success_rate,n_error
agentdojo_live_local_no_guard,No defense,official_same_protocol,complete_726_native_metrics_command_diagnostics_not_frozen,True,726,64,0.6597938144329897,342,0.5437201907790143,53,0.08426073131955485,0
agentdojo_live_melon_local,MELON-style,comparable_local_adapter,complete_726_native_metrics_command_diagnostics_not_frozen,True,726,62,0.6391752577319587,340,0.5405405405405406,56,0.0890302066772655,0
agentdojo_live_ours_e77_effect_diff_runtime,Effect-binding runtime guard,proposed_method_strict_finalizer,strict_context_repair_overlay_finalizer_passed,True,726,33,0.3402061855670103,207,0.32909379968203495,3,0.0047694753577106515,0
agentdojo_live_prompt_sandwiching,Prompt Sandwiching,comparable_prompting_adapter,complete_726_native_metrics_command_diagnostics_not_frozen,True,726,60,0.6185567010309279,362,0.575516693163752,8,0.012718600953895072,0
agentdojo_live_promptarmor_local,PromptArmor-style,comparable_local_adapter,complete_726_native_metrics_command_diagnostics_not_frozen,True,726,27,0.27835051546391754,138,0.21939586645468998,1,0.001589825119236884,0
agentdojo_live_spotlighting_with_delimiting,Spotlighting,agentdojo_builtin_prompting_defense,complete_726_native_metrics_command_diagnostics_not_frozen,True,726,60,0.6185567010309279,371,0.589825119236884,48,0.07631160572337042,0
agentdojo_live_attriguard,AttriGuard adapted artifact,released_artifact_adapter,provisional_10_of_726_protocol_errors,False,726,40,0.41237113402061853,215,0.34181240063593005,8,0.012718600953895072,0
