abstain,atom_expansion_exact_match,claim_scope,coverage,decision_accuracy,method,safe_false_deny,unsafe_pre_allow
0.8,0,controlled local mock pre-commit mediation,0.2,0.1,existing_hard_effect_binding_guard,0,0.037037
0.08,1,controlled local mock pre-commit mediation,0.92,1,authz_aware_effect_binding_guard,0,0
0.08,1,controlled local mock pre-commit mediation,0.92,0.92,authz_aware_no_alias_resolution,0.210526,0
0.08,0.3,controlled local mock pre-commit mediation,0.92,0.82,authz_aware_no_multi_resource_expansion,0,0.333333
0.08,1,controlled local mock pre-commit mediation,0.92,0.92,authz_aware_no_operation_mode,0,0.148148
0.06,1,controlled local mock pre-commit mediation,0.94,0.9,authz_aware_no_provenance_overlay,0,0.148148
0.12,0.96,controlled local mock pre-commit mediation,0.88,0.96,authz_aware_no_evidence_fallback,0,0
