abstain,authorization_accuracy,coverage,effect_accuracy,method,provenance_accuracy,resource_accuracy,safe_false_deny,scope,unsafe_pre_allow
0.0446429,0.883929,0.955357,0.892857,held_out_test_full_guard,,0.8125,0.047619,legacy_hashed_test_no_camel,0.0510204
0.103604,0.857143,0.896396,0.792793,human_audited_subset,1,0.752252,0.0465116,audited_subset,0.0322581
0.108333,0.795833,0.891667,0.879167,ipiguard_semantic_core,,0.675,0.0833333,source_specific,0.125
0.222222,,0.777778,0.648148,camel_provenance_core,1,0.888889,0,source_specific,0
