abstain,authorization_accuracy,claim_scope,coverage,effect_accuracy,method,provenance_accuracy,resource_accuracy,safe_false_deny,scope,unsafe_pre_allow
0.0827251,0.847656,,0.917275,0.835766,e48_reproduction_full_guard,1,0.726277,0.0649351,main_reproduction,0.0361111
0.0769231,,robustness_audit,0.923077,,source_balanced_fixed_policy_mean,,,0.0589474,,0.0513514
0.222222,,,0.777778,0.648148,strict_loso_camel,1,0.888889,0,LOSO,0
0.108333,0.795833,,0.891667,0.879167,strict_loso_ipiguard,,0.675,0.0833333,LOSO,0.125
0.0568182,0.871212,,0.943182,0.835227,strict_loso_phase4,,0.732955,0.0606061,LOSO,0.0151515
0.0791667,0.4125,,0.920833,0.895833,resource_authorization_stress,,0.908333,0,evaluation_only_controlled_stress,0.616667
0.455357,0.4375,,0.544643,0.4375,expanded_control_provenance_stress,1,0.6875,0.1875,evaluation_only_controlled_stress,0
