scope,method,n_rows,label_counts,unsafe_pre_allow_successes,unsafe_pre_allow_total,unsafe_pre_allow_rate,safe_false_deny_successes,safe_false_deny_total,safe_false_deny_rate,abstain_label_recall_successes,abstain_label_recall_total,abstain_label_recall_rate,coverage_successes,coverage_total,coverage_rate,abstain_rate_successes,abstain_rate_total,abstain_rate_rate,decision_accuracy_successes,decision_accuracy_total,decision_accuracy_rate
audit_subset_human,tool_name_proxy,60,"{""ABSTAIN"": 7, ""ALLOW"": 25, ""DENY"": 28}",22,28,0.7857142857142857,3,25,0.12,0,7,0.0,60,60,1.0,0,60,0.0,28,60,0.4666666666666667
full_600_original,allow_all,600,"{""ABSTAIN"": 48, ""ALLOW"": 228, ""DENY"": 324}",324,324,1.0,0,228,0.0,0,48,0.0,600,600,1.0,0,600,0.0,228,600,0.38
full_600_original,authz_aware_effect_binding_guard,600,"{""ABSTAIN"": 48, ""ALLOW"": 228, ""DENY"": 324}",0,324,0.0,0,228,0.0,48,48,1.0,552,600,0.92,48,600,0.08,600,600,1.0
full_600_original,authz_aware_no_alias_resolution,600,"{""ABSTAIN"": 48, ""ALLOW"": 228, ""DENY"": 324}",0,324,0.0,48,228,0.21052631578947367,48,48,1.0,552,600,0.92,48,600,0.08,552,600,0.92
full_600_original,authz_aware_no_evidence_fallback,600,"{""ABSTAIN"": 48, ""ALLOW"": 228, ""DENY"": 324}",0,324,0.0,0,228,0.0,48,48,1.0,528,600,0.88,72,600,0.12,576,600,0.96
full_600_original,authz_aware_no_multi_resource_expansion,600,"{""ABSTAIN"": 48, ""ALLOW"": 228, ""DENY"": 324}",108,324,0.3333333333333333,0,228,0.0,48,48,1.0,552,600,0.92,48,600,0.08,492,600,0.82
full_600_original,authz_aware_no_operation_mode,600,"{""ABSTAIN"": 48, ""ALLOW"": 228, ""DENY"": 324}",48,324,0.14814814814814814,0,228,0.0,48,48,1.0,552,600,0.92,48,600,0.08,552,600,0.92
full_600_original,authz_aware_no_provenance_overlay,600,"{""ABSTAIN"": 48, ""ALLOW"": 228, ""DENY"": 324}",48,324,0.14814814814814814,0,228,0.0,36,48,0.75,564,600,0.94,36,600,0.06,540,600,0.9
full_600_original,deny_all,600,"{""ABSTAIN"": 48, ""ALLOW"": 228, ""DENY"": 324}",0,324,0.0,228,228,1.0,0,48,0.0,600,600,1.0,0,600,0.0,324,600,0.54
full_600_original,existing_hard_effect_binding_guard,600,"{""ABSTAIN"": 48, ""ALLOW"": 228, ""DENY"": 324}",12,324,0.037037037037037035,0,228,0.0,0,48,0.0,120,600,0.2,480,600,0.8,60,600,0.1
full_600_original,text_rule_proxy,600,"{""ABSTAIN"": 48, ""ALLOW"": 228, ""DENY"": 324}",192,324,0.5925925925925926,0,228,0.0,48,48,1.0,528,600,0.88,72,600,0.12,384,600,0.64
full_600_original,tool_name_proxy,600,"{""ABSTAIN"": 48, ""ALLOW"": 228, ""DENY"": 324}",216,324,0.6666666666666666,0,228,0.0,0,48,0.0,600,600,1.0,0,600,0.0,336,600,0.56
full_600_minimal_human_corrected,allow_all,600,"{""ABSTAIN"": 50, ""ALLOW"": 230, ""DENY"": 320}",320,320,1.0,0,230,0.0,0,50,0.0,600,600,1.0,0,600,0.0,230,600,0.38333333333333336
full_600_minimal_human_corrected,authz_aware_effect_binding_guard,600,"{""ABSTAIN"": 50, ""ALLOW"": 230, ""DENY"": 320}",0,320,0.0,4,230,0.017391304347826087,48,50,0.96,552,600,0.92,48,600,0.08,594,600,0.99
full_600_minimal_human_corrected,authz_aware_no_alias_resolution,600,"{""ABSTAIN"": 50, ""ALLOW"": 230, ""DENY"": 320}",0,320,0.0,52,230,0.22608695652173913,48,50,0.96,552,600,0.92,48,600,0.08,546,600,0.91
full_600_minimal_human_corrected,authz_aware_no_evidence_fallback,600,"{""ABSTAIN"": 50, ""ALLOW"": 230, ""DENY"": 320}",0,320,0.0,4,230,0.017391304347826087,50,50,1.0,528,600,0.88,72,600,0.12,574,600,0.9566666666666667
full_600_minimal_human_corrected,authz_aware_no_multi_resource_expansion,600,"{""ABSTAIN"": 50, ""ALLOW"": 230, ""DENY"": 320}",104,320,0.325,0,230,0.0,48,50,0.96,552,600,0.92,48,600,0.08,494,600,0.8233333333333334
full_600_minimal_human_corrected,authz_aware_no_operation_mode,600,"{""ABSTAIN"": 50, ""ALLOW"": 230, ""DENY"": 320}",48,320,0.15,4,230,0.017391304347826087,48,50,0.96,552,600,0.92,48,600,0.08,546,600,0.91
full_600_minimal_human_corrected,authz_aware_no_provenance_overlay,600,"{""ABSTAIN"": 50, ""ALLOW"": 230, ""DENY"": 320}",48,320,0.15,4,230,0.017391304347826087,36,50,0.72,564,600,0.94,36,600,0.06,534,600,0.89
full_600_minimal_human_corrected,deny_all,600,"{""ABSTAIN"": 50, ""ALLOW"": 230, ""DENY"": 320}",0,320,0.0,230,230,1.0,0,50,0.0,600,600,1.0,0,600,0.0,320,600,0.5333333333333333
full_600_minimal_human_corrected,existing_hard_effect_binding_guard,600,"{""ABSTAIN"": 50, ""ALLOW"": 230, ""DENY"": 320}",12,320,0.0375,0,230,0.0,0,50,0.0,120,600,0.2,480,600,0.8,58,600,0.09666666666666666
full_600_minimal_human_corrected,text_rule_proxy,600,"{""ABSTAIN"": 50, ""ALLOW"": 230, ""DENY"": 320}",188,320,0.5875,0,230,0.0,50,50,1.0,528,600,0.88,72,600,0.12,390,600,0.65
full_600_minimal_human_corrected,tool_name_proxy,600,"{""ABSTAIN"": 50, ""ALLOW"": 230, ""DENY"": 320}",215,320,0.671875,3,230,0.013043478260869565,0,50,0.0,600,600,1.0,0,600,0.0,332,600,0.5533333333333333
